Armazem;Deposito;         ;Produto;Descricao;Unidade;Saldo Anterior;Entradas;Saidas;Saldo Atual;Transito;Disponivel;Inventario;Diferenca;Diferenca Congelamento;Trans_Ant;Trans_Ant_nao_carregado;Trans_Dia_nao_carregado;Comodato OP03;Venda Vas OP85;Valorizacao;Sinal;               ;               ;               ;               ;               ;Saldo Unitário ;               ;               ;               ;               ;               ;               ;               ;Sub-Depósitos  ;Saldo Atual Real;Saldo Grade Real
01;20;000;00001695;BRAHMA CHOPP GFA VD 1L COM TTC               ;Dz  ;      1.042/11 ;          0/00;          0/00;      1.042/11 ;         58/00 ;        984/11 ;          0/00 ;        984/11-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000024150,1566627;-;  ;     ;                   ;                   ;                   ; 00000011819;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      1.042/11 ;        984/11 
01;20;000;00001699;STELLA ARTOIS LT 269ML CX C/8 FRIDGE PACK    ;cx  ;      6.964/04 ;          0/00;          0/00;      6.964/04 ;        301/00 ;      6.663/04 ;          0/00 ;      6.663/04-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000076630,2500000;-;  ;     ;                   ;                   ;                   ; 00000053308;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      6.964/04 ;      6.663/04 
01;20;000;00001708;GUARANA ANTARCTICA ZERO PET 2,5L CAIXA C/6   ;cx  ;        126/00 ;          0/00;          0/00;        126/00 ;          0/00 ;        126/00 ;          0/00 ;        126/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000002411,6400000;-;  ;     ;                   ;                   ;                   ; 00000000756;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;        126/00 ;        126/00 
01;20;000;00001743;ANTARCTICA PILSEN GFA VD 1L COM TTC          ;Dz  ;      2.156/11 ;      1.402/00;          0/00;      3.558/11 ;        129/00 ;      3.429/11 ;          0/00 ;      3.429/11-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000076658,6375000;-;  ;     ;                   ;                   ;                   ; 00000041159;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      3.558/11 ;      3.429/11 
01;20;000;00001745;SKOL LT 269ML SH C15 NPAL                    ;cx  ;      2.532/12 ;          0/00;          0/00;      2.532/12 ;         66/00 ;      2.466/12 ;          0/00 ;      2.466/12-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000036607,3119876;-;  ;     ;                   ;                   ;                   ; 00000037002;            ;                   ;                   ;                   ;                   ;                   ;                   ;          6/00 ;      2.526/12 ;      2.460/12 
01;20;000;00002006;ANTARCTICA SUBZERO 600ML                     ;Dz  ;      1.428/00 ;          0/00;          0/00;      1.428/00 ;          0/00 ;      1.428/00 ;          0/00 ;      1.428/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000054049,8000057;-;  ;     ;                   ;                   ;                   ; 00000017136;            ;                   ;                   ;                   ;                   ;                   ;                   ;      1.428/00 ;          0/00 ;          0/00 
01;20;000;00002008;ANTARCTICA SUBZERO LATA 350ML SH C/12 NPAL   ;cx  ;      1.083/10 ;          0/00;          0/00;      1.083/10 ;         57/00 ;      1.026/10 ;          0/00 ;      1.026/10-;          0/00 ;         15/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000014211,3733292;-;  ;     ;                   ;                   ;                   ; 00000012322;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      1.083/10 ;      1.026/10 
01;20;000;00002243;GUARANA CHP ANTARCTICA MIX BAG IN BOX 18L    ;L   ;        786/00 ;          0/00;          0/00;        786/00 ;        180/00 ;        606/00 ;          0/00 ;        606/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000070417,2000000;-;  ;     ;                   ;                   ;                   ; 00000000606;            ;                   ;                   ;                   ;                   ;                   ;                   ;         72/00 ;        714/00 ;        534/00 
01;20;000;00002248;SODA LIMONADA ANTARCTICA MIX BAG IN BOX 18L  ;L   ;         67/00 ;          0/00;          0/00;         67/00 ;          0/00 ;         67/00 ;          0/00 ;         67/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000007764,6300000;-;  ;     ;                   ;                   ;                   ; 00000000067;            ;                   ;                   ;                   ;                   ;                   ;                   ;         65/00 ;          2/00 ;          2/00 
01;20;000;00002250;GUARANA CHP ANTARCTICA DIET MIX BAG IN BOX 18;L   ;        365/00 ;          0/00;          0/00;        365/00 ;          0/00 ;        365/00 ;          0/00 ;        365/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000041927,5500000;-;  ;     ;                   ;                   ;                   ; 00000000365;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;        365/00 ;        365/00 
