Armazem;Deposito;         ;Produto;Descricao;Unidade;Saldo Anterior;Entradas;Saidas;Saldo Atual;Transito;Disponivel;Inventario;Diferenca;Diferenca Congelamento;Trans_Ant;Trans_Ant_nao_carregado;Trans_Dia_nao_carregado;Comodato OP03;Venda Vas OP85;Valorizacao;Sinal;               ;               ;               ;               ;               ;Saldo Unitário ;               ;               ;               ;               ;               ;               ;               ;Sub-Depósitos  ;Saldo Atual Real;Saldo Grade Real
01;20;000;00011559;SKOL ONE WAY 300ML CX C/24                   ;cx  ;          0/01 ;          0/00;          0/00;          0/01 ;          0/00 ;          0/01 ;          0/00 ;          0/01-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000000,8683333;-;  ;     ;                   ;                   ;                   ; 00000000001;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/01 ;          0/01 
01;20;000;00011593;PEPSI COLA GFA VD 1L                         ;Dz  ;          0/02 ;          0/00;          0/00;          0/02 ;          0/00 ;          0/02 ;          0/00 ;          0/02-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000004,1433333;-;  ;     ;                   ;                   ;                   ; 00000000002;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/02 ;          0/02 
01;20;000;00012835;SKOL GFA ALUMINIO 473ML SIXPACK SH C/4       ;cx  ;          0/02 ;          0/00;          0/00;          0/02 ;          0/00 ;          0/02 ;          0/00 ;          0/02-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000004,1666666;-;  ;     ;                   ;                   ;                   ; 00000000002;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/02 ;          0/02 
01;20;000;00012948;BRAHMA CHOPP ZERO LATA 350ML SH C/12 NPAL    ;cx  ;      4.794/10 ;          0/00;          0/00;      4.794/10 ;        148/01 ;      4.646/09 ;          0/00 ;      4.646/09-;          0/00 ;         10/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000087451,8349814;-;  ;     ;                   ;                   ;                   ; 00000055761;            ;                   ;                   ;                   ;                   ;                   ;                   ;          1/00 ;      4.793/10 ;      4.645/09 
01;20;000;00013061;H2OH LIMONETO PET 500ML SHRINK C/12 NPAL     ;cx  ;     12.460/07 ;          4/00;          0/00;     12.464/07 ;      1.258/00 ;     11.206/07 ;          0/00 ;     11.206/07-;          0/00 ;        224/00 ;          0/00 ;      1.008/00 ;          0/00 ;          0/00 ;00000187374,0732885;-;  ;     ;                   ;                   ;                   ; 00000134479;            ;                   ;                   ;                   ;                   ;                   ;                   ;        338/00 ;     12.126/07 ;     10.868/07 
01;20;000;00013196;SKOL ONE WAY 300ML CX C/23                   ;cx  ;      1.243/13 ;          0/00;          0/00;      1.243/13 ;         13/00 ;      1.230/13 ;          0/00 ;      1.230/13-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000036843,1225963;-;  ;     ;                   ;                   ;                   ; 00000028303;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      1.243/13 ;      1.230/13 
01;20;000;00013201;BRAHMA CHOPP GFA VD 300ML CX C/23            ;cx  ;         58/03 ;          0/00;          0/00;         58/03 ;         34/00 ;         24/03 ;          0/00 ;         24/03-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000412,8717388;-;  ;     ;                   ;                   ;                   ; 00000000555;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;         58/03 ;         24/03 
01;20;000;00013203;ANTARCTICA PILSEN GFA VD 300ML CX C/23       ;cx  ;      1.946/00 ;          0/00;          0/00;      1.946/00 ;         16/00 ;      1.930/00 ;          0/00 ;      1.930/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000030088,7000019;-;  ;     ;                   ;                   ;                   ; 00000044390;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      1.946/00 ;      1.930/00 
01;20;000;00013205;SKOL GFA VD 300ML CX C/23                    ;cx  ;      1.405/14 ;          6/00;          0/00;      1.411/14 ;        103/02 ;      1.308/12 ;          0/00 ;      1.308/12-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000022846,7895717;-;  ;     ;                   ;                   ;                   ; 00000030096;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      1.411/14 ;      1.308/12 
01;20;000;00013566;SKOL BEATS SENSES LT 269ML CX C/8 FRIDGE PACK;cx  ;      2.189/03 ;          0/00;          0/00;      2.189/03 ;         90/00 ;      2.099/03 ;          0/00 ;      2.099/03-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000030482,9250000;-;  ;     ;                   ;                   ;                   ; 00000016795;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      2.189/03 ;      2.099/03 
01;20;000;00013839;BUDWEISER LT 269ML CX C/8 FRIDGE PACK        ;cx  ;          0/04 ;          0/00;          0/00;          0/04 ;          0/00 ;          0/04 ;          0/00 ;          0/04-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000004,4250000;-;  ;     ;                   ;                   ;                   ; 00000000004;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/04 ;          0/04 
01;20;000;00014120;BRAHMA EXTRA WEISS LONG NECK 355ML SIX-PACK S;cx  ;          0/15 ;          0/00;          0/00;          0/15 ;          0/00 ;          0/15 ;          0/00 ;          0/15-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000017,0062500;-;  ;     ;                   ;                   ;                   ; 00000000015;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/15 ;          0/15 
01;20;000;00014135;BUDWEISER LATA 473ML SIX-PACK SH C/2 NPAL    ;cx  ;     59.243/11 ;          6/00;          0/00;     59.249/11 ;        659/00 ;     58.590/11 ;          0/00 ;     58.590/11-;          0/00 ;        520/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00001214003,7935676;-;  ;     ;                   ;                   ;                   ; 00000703091;            ;                   ;                   ;                   ;                   ;                   ;                   ;        567/00 ;     58.682/11 ;     58.023/11 
01;20;000;00014340;ORIGINAL ONE WAY 300ML CXPAP12               ;cx  ;          0/11 ;          0/00;          0/00;          0/11 ;          0/00 ;          0/11 ;          0/00 ;          0/11-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000012,9800000;-;  ;     ;                   ;                   ;                   ; 00000000011;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/11 ;          0/11 
01;20;000;00014548;COLORADO CAUIM ONE WAY 600ML CX C-12 ARTE    ;cx  ;          1/00 ;          0/00;          0/00;          1/00 ;          0/00 ;          1/00 ;          0/00 ;          1/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000062,9199999;-;  ;     ;                   ;                   ;                   ; 00000000012;            ;                   ;                   ;                   ;                   ;                   ;                   ;          1/00 ;          0/00 ;          0/00 
01;20;000;00014550;COLORADO APPIA ONE WAY 600ML CX C-12 ARTE    ;cx  ;          1/05 ;          0/00;          0/00;          1/05 ;          1/00 ;          0/05 ;          0/00 ;          0/05-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000030,1333333;-;  ;     ;                   ;                   ;                   ; 00000000005;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          1/05 ;          0/05 
01;20;000;00014552;COLORADO INDICA ONE WAY 600ML CX C-12 ARTE   ;cx  ;          1/00 ;          0/00;          0/00;          1/00 ;          0/00 ;          1/00 ;          0/00 ;          1/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000068,4000000;-;  ;     ;                   ;                   ;                   ; 00000000012;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          1/00 ;          1/00 
01;20;000;00014844;GUARANA CHP ANTARCTICA LT 269ML SH C/15      ;cx  ;         19/06 ;          0/00;          0/00;         19/06 ;          0/00 ;         19/06 ;          0/00 ;         19/06-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000277,8080000;-;  ;     ;                   ;                   ;                   ; 00000000291;            ;                   ;                   ;                   ;                   ;                   ;                   ;         18/00 ;          1/06 ;          1/06 
01;20;000;00015152;FUSION PESSEGO LT 310ML CX C/8 FRIDGE PACK NP;cx  ;          0/01 ;          0/00;          0/00;          0/01 ;          0/00 ;          0/01 ;          0/00 ;          0/01-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000009,7662500;-;  ;     ;                   ;                   ;                   ; 00000000001;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/01 ;          0/01 
01;20;000;00015190;PEPSI ZERO MIX BAG IN BOX 18L                ;L   ;        187/00-;          0/00;          0/00;        187/00-;          0/00 ;        187/00-;          0/00 ;        187/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000019653,7000000; ;  ;     ;                   ;                   ;                   ;-00000000187;            ;                   ;                   ;                   ;                   ;                   ;                   ;         36/00 ;        223/00-;        223/00-
01;20;000;00015778;BRAHMA EXTRA LAGER LATA 350ML CX CARTAO C/12 ;cx  ;          0/07 ;          0/00;          0/00;          0/07 ;          0/00 ;          0/07 ;          0/00 ;          0/07-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000008,8200000;-;  ;     ;                   ;                   ;                   ; 00000000007;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/07 ;          0/07 
01;20;000;00016009;DO BEM LARANJA TETRAPAK 200ML CX18           ;cx  ;          0/03 ;          0/00;          0/00;          0/03 ;          0/00 ;          0/03 ;          0/00 ;          0/03-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000002,9533333;-;  ;     ;                   ;                   ;                   ; 00000000003;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/03 ;          0/03 
01;20;000;00016503;BOHEMIA GFA VD 300ML CX C/23                 ;cx  ;          0/17 ;          0/00;          0/00;          0/17 ;          0/00 ;          0/17 ;          0/00 ;          0/17-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000014,9821739;-;  ;     ;                   ;                   ;                   ; 00000000017;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/17 ;          0/17 
01;20;000;00017264;BRAHMA EXTRA LAGER LT 473ML CX CARTAO C/12   ;cx  ;          0/09 ;          0/00;          0/00;          0/09 ;          0/00 ;          0/09 ;          0/00 ;          0/09-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000011,8125000;-;  ;     ;                   ;                   ;                   ; 00000000009;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/09 ;          0/09 
01;20;000;00017266;BOHEMIA LT 473ML CX CARTAO C/12              ;cx  ;          2/01 ;          0/00;          0/00;          2/01 ;          1/00 ;          1/01 ;          0/00 ;          1/01-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000021,9916666;-;  ;     ;                   ;                   ;                   ; 00000000013;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          2/01 ;          1/01 
01;20;000;00017278;PATAGONIA WEISSE NACIONAL LN 355ML CX C/12   ;cx  ;          0/06 ;          0/00;          0/00;          0/06 ;          0/00 ;          0/06 ;          0/00 ;          0/06-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000017,8950000;-;  ;     ;                   ;                   ;                   ; 00000000006;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/06 ;          0/06 
01;20;000;00017757;BECKS N LONG NECK 330ML SIX-PACK SHRINK C/4  ;cx  ;          0/03 ;          0/00;          0/00;          0/03 ;          0/00 ;          0/03 ;          0/00 ;          0/03-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000005,7075000;-;  ;     ;                   ;                   ;                   ; 00000000003;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/03 ;          0/03 
01;20;000;00017797;BRAHMA CHOPP LATA 350ML SH C/18 NPAL MULTPACK;cx  ;          0/09 ;          0/00;          0/00;          0/09 ;          0/00 ;          0/09 ;          0/00 ;          0/09-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000009,1649999;-;  ;     ;                   ;                   ;                   ; 00000000009;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/09 ;          0/09 
01;20;000;00017808;BUDWEISER OW 330ML CX C/24                   ;cx  ;      3.772/08 ;          2/00;          0/00;      3.774/08 ;        123/00 ;      3.651/08 ;          0/00 ;      3.651/08-;          0/00 ;         33/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000140831,9266374;-;  ;     ;                   ;                   ;                   ; 00000087632;            ;                   ;                   ;                   ;                   ;                   ;                   ;        132/00 ;      3.642/08 ;      3.519/08 
01;20;000;00018142;GOOSE ISLAND MIDWAY NAC LN 355ML CX C/12     ;cx  ;          1/00 ;          0/00;          0/00;          1/00 ;          0/00 ;          1/00 ;          0/00 ;          1/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000063,4400000;-;  ;     ;                   ;                   ;                   ; 00000000012;            ;                   ;                   ;                   ;                   ;                   ;                   ;          2/00 ;          1/00-;          1/00-
01;20;000;00018152;GUARANA CHP ANTARCTICA PET 200ML SH C/12     ;cx  ;      4.818/06 ;         16/00;          0/00;      4.834/06 ;        745/00 ;      4.089/06 ;          0/00 ;      4.089/06-;          0/00 ;        449/00 ;          0/00 ;        400/00 ;          0/00 ;          0/00 ;00000028871,8699836;-;  ;     ;                   ;                   ;                   ; 00000049074;            ;                   ;                   ;                   ;                   ;                   ;                   ;      2.219/00 ;      2.615/06 ;      1.870/06 
01;20;000;00018266;PEPSI COLA PET 200ML SH C/12                 ;cx  ;        955/02 ;          6/00;          0/00;        961/02 ;        343/00 ;        618/02 ;          0/00 ;        618/02-;          0/00 ;         43/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000004222,0783358;-;  ;     ;                   ;                   ;                   ; 00000007418;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;        961/02 ;        618/02 
01;20;000;00018267;SODA LIMONADA ANTARCTICA PET 200ML SH C/12   ;cx  ;        353/03 ;          0/00;          0/00;        353/03 ;         82/00 ;        271/03 ;          0/00 ;        271/03-;          0/00 ;         30/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000001879,7625000;-;  ;     ;                   ;                   ;                   ; 00000003255;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;        353/03 ;        271/03 
01;20;000;00018268;SUKITA PET 200ML SH C/12                     ;cx  ;      1.205/01 ;          3/00;          0/00;      1.208/01 ;        251/00 ;        957/01 ;          0/00 ;        957/01-;          0/00 ;          0/00 ;          0/00 ;        200/00 ;          0/00 ;          0/00 ;00000006096,6208295;-;  ;     ;                   ;                   ;                   ; 00000011485;            ;                   ;                   ;                   ;                   ;                   ;                   ;         48/00 ;      1.160/01 ;        909/01 
01;20;000;00018673;SKOL PURO MALTE GFA VD 300ML CX C/23         ;cx  ;          0/13 ;          0/00;          0/00;          0/13 ;          0/00 ;          0/13 ;          0/00 ;          0/13-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000008,6252173;-;  ;     ;                   ;                   ;                   ; 00000000013;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/13 ;          0/13 
01;20;000;00018678;SKOL PURO MALTE GFA VD 1L                    ;Dz  ;          0/02 ;          0/00;          0/00;          0/02 ;          0/00 ;          0/02 ;          0/00 ;          0/02-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000004,1383333;-;  ;     ;                   ;                   ;                   ; 00000000002;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/02 ;          0/02 
01;20;000;00018682;SKOL PURO MALTE LT 269ML SH C/15             ;cx  ;          0/02 ;          0/00;          0/00;          0/02 ;          0/00 ;          0/02 ;          0/00 ;          0/02-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000001,9546666;-;  ;     ;                   ;                   ;                   ; 00000000002;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/02 ;          0/02 
01;20;000;00018765;PATAGONIA WEISSE NACIONAL LATA 473ML 6PACK CA;cx  ;          0/04 ;          0/00;          0/00;          0/04 ;          0/00 ;          0/04 ;          0/00 ;          0/04-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000009,7533333;-;  ;     ;                   ;                   ;                   ; 00000000004;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/04 ;          0/04 
01;20;000;00018772;PATAGONIA AMB LAG NACIONAL ONE WAY 740ML CX6 ;cx  ;          0/02 ;          0/00;          0/00;          0/02 ;          0/00 ;          0/02 ;          0/00 ;          0/02-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000010,6766666;-;  ;     ;                   ;                   ;                   ; 00000000002;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/02 ;          0/02 
01;20;000;00018780;CORONITA EXTRA N OW 210ML CX C/4 SIX PACK    ;cx  ;      1.898/05 ;          0/00;          0/00;      1.898/05 ;         18/00 ;      1.880/05 ;          0/00 ;      1.880/05-;          0/00 ;        105/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000088764,6354016;-;  ;     ;                   ;                   ;                   ; 00000045125;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      1.898/05 ;      1.880/05 
01;20;000;00018807;STELLA ARTOIS LONG NECK 330ML SIX-PACK SHRINK;cx  ;      5.652/18 ;          1/00;          0/00;      5.653/18 ;         97/00 ;      5.556/18 ;          0/00 ;      5.556/18-;          0/00 ;         82/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000226937,6700444;-;  ;     ;                   ;                   ;                   ; 00000133362;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      5.653/18 ;      5.556/18 
01;20;000;00018836;CORONA EXTRA N LONG NECK 330ML CX C/24 NPAL  ;cx  ;      9.166/08 ;          7/00;          0/00;      9.173/08 ;        135/00 ;      9.038/08 ;          0/00 ;      9.038/08-;          0/00 ;         43/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000512563,8834056;-;  ;     ;                   ;                   ;                   ; 00000216920;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      9.173/08 ;      9.038/08 
01;20;000;00019164;GUARANA CHP ANTARCTICA PET 1L PACK C/2 MULTPA;cx  ;     64.163/01 ;        115/00;          0/00;     64.278/01 ;      2.498/01 ;     61.780/00 ;          0/00 ;     61.780/00-;          0/00 ;      2.375/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000197078,2000000;-;  ;     ;                   ;                   ;                   ; 00000123560;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;     64.278/01 ;     61.780/00 
01;20;000;00019225;RED BULL BR LATA 250ML CX C 24 NPAL .        ;cx  ;        279/01 ;          1/00;          0/00;        280/01 ;          8/00 ;        272/01 ;          0/00 ;        272/01-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000031603,0804188;-;  ;     ;                   ;                   ;                   ; 00000006529;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;        280/01 ;        272/01 
01;20;000;00019227;RED BULL BR LATA 355ML FOUR PACK .           ;cx  ;          1/03-;          0/00;          0/00;          1/03-;          0/00 ;          1/03-;          0/00 ;          1/03 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000041,3000000; ;  ;     ;                   ;                   ;                   ;-00000000007;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          1/03-;          1/03-
01;20;000;00019229;RED BULL BR LATA 250ML SIX PACK NPAL .       ;cx  ;      1.989/00 ;          5/00;          0/00;      1.994/00 ;         54/00 ;      1.940/00 ;          0/00 ;      1.940/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000055484,0000038;-;  ;     ;                   ;                   ;                   ; 00000011640;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      1.994/00 ;      1.940/00 
01;20;000;00019231;RED BULL SUGAR FREE BR LATA 250ML FOUR PACK N;cx  ;         26/01 ;          1/00;          0/00;         27/01 ;         23/00 ;          4/01 ;          0/00 ;          4/01-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000079,6875000;-;  ;     ;                   ;                   ;                   ; 00000000017;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;         27/01 ;          4/01 
01;20;000;00019303;TONICA ANTARCTICA LT 269ML SH C/15           ;cx  ;          0/12 ;          0/00;          0/00;          0/12 ;          0/00 ;          0/12 ;          0/00 ;          0/12-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000013,3520000;-;  ;     ;                   ;                   ;                   ; 00000000012;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/12 ;          0/12 
01;20;000;00019321;GUARANA ANTARCTICA ZERO PET 200ML SH C/12    ;cx  ;         53/04 ;          0/00;          0/00;         53/04 ;          2/00 ;         51/04 ;          0/00 ;         51/04-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000360,8733331;-;  ;     ;                   ;                   ;                   ; 00000000616;            ;                   ;                   ;                   ;                   ;                   ;                   ;          2/00 ;         51/04 ;         49/04 
01;20;000;00019515;COLORADO LAGER LATA 410ML PACK 12            ;cx  ;          0/04 ;          0/00;          0/00;          0/04 ;          0/00 ;          0/04 ;          0/00 ;          0/04-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000007,8733333;-;  ;     ;                   ;                   ;                   ; 00000000004;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/04 ;          0/04 
01;20;000;00019668;ORIGINAL LATA 350ML SH C/12 NPAL             ;cx  ;      6.923/07 ;          2/00;          0/00;      6.925/07 ;        142/00 ;      6.783/07 ;          0/00 ;      6.783/07-;          0/00 ;        200/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000131601,5166938;-;  ;     ;                   ;                   ;                   ; 00000081403;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      6.925/07 ;      6.783/07 
01;20;000;00019729;STELLA ARTOIS LT SLEEK 350ML C 8 CX CARTAO   ;cx  ;      5.265/07 ;          1/00;          0/00;      5.266/07 ;        105/00 ;      5.161/07 ;          0/00 ;      5.161/07-;          0/00 ;         21/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000070201,5000000;-;  ;     ;                   ;                   ;                   ; 00000041295;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      5.266/07 ;      5.161/07 
01;20;000;00020072;BECKS N LT SLEEK 350ML C 8 CX CARTAO         ;cx  ;         10/00 ;          0/00;          0/00;         10/00 ;          0/00 ;         10/00 ;          0/00 ;         10/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000144,3000000;-;  ;     ;                   ;                   ;                   ; 00000000080;            ;                   ;                   ;                   ;                   ;                   ;                   ;         10/00 ;          0/00 ;          0/00 
01;20;000;00020150;BRAHMA CHOPP LT 473ML SH C/12 NPAL MULTPACK 1;cx  ;          4/07 ;          0/00;          0/00;          4/07 ;          0/00 ;          4/07 ;          0/00 ;          4/07-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000080,1166666;-;  ;     ;                   ;                   ;                   ; 00000000055;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          4/07 ;          4/07 
01;20;000;00020164;SKOL LT 473ML SH C/12 NPAL MULTPACK 12       ;cx  ;      6.158/05 ;          0/00;          0/00;      6.158/05 ;        194/00 ;      5.964/05 ;          0/00 ;      5.964/05-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000108015,5858571;-;  ;     ;                   ;                   ;                   ; 00000071573;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      6.158/05 ;      5.964/05 
01;20;000;00020217;ORIGINAL GFA VD 300ML CX C/23                ;cx  ;      4.659/15 ;          0/00;          0/00;      4.659/15 ;         92/00 ;      4.567/15 ;          0/00 ;      4.567/15-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000102041,3495834;-;  ;     ;                   ;                   ;                   ; 00000105056;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      4.659/15 ;      4.567/15 
01;20;000;00020329;BRAHMA DUPLO MALTE 600ML                     ;Dz  ;          7/08 ;          0/00;          0/00;          7/08 ;          0/00 ;          7/08 ;          0/00 ;          7/08-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000322,1533333;-;  ;     ;                   ;                   ;                   ; 00000000092;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          7/08 ;          7/08 
01;20;000;00020355;SKOL BEATS CARVA LT 269ML SH C12 NPAL        ;cx  ;          1/05 ;          0/00;          0/00;          1/05 ;          0/00 ;          1/05 ;          0/00 ;          1/05-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000019,2525000;-;  ;     ;                   ;                   ;                   ; 00000000017;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          1/05 ;          1/05 
01;20;000;00020498;BRAHMA DUPLO MALTE LT SLEEK 350ML SH C 12    ;cx  ;      2.451/03 ;          8/00;          0/00;      2.459/03 ;        173/00 ;      2.286/03 ;          0/00 ;      2.286/03-;          0/00 ;        198/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000036419,9625000;-;  ;     ;                   ;                   ;                   ; 00000027435;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      2.459/03 ;      2.286/03 
01;20;000;00020530;STELLA ARTOIS 600 ML                         ;Dz  ;      5.793/02 ;         10/00;          0/00;      5.803/02 ;        136/00 ;      5.667/02 ;          0/00 ;      5.667/02-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000284831,7966439;-;  ;     ;                   ;                   ;                   ; 00000068006;            ;                   ;                   ;                   ;                   ;                   ;                   ;        114/00 ;      5.689/02 ;      5.553/02 
01;20;000;00020533;BRAHMA DUPLO MALTE GFA VD 1L                 ;Dz  ;          0/06 ;          0/00;          0/00;          0/06 ;          0/00 ;          0/06 ;          0/00 ;          0/06-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000013,5199999;-;  ;     ;                   ;                   ;                   ; 00000000006;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/06 ;          0/06 
